,atotim,aLAK1_STAGE,aLAK2_STAGE,aLAK1_TO-MVR,aLAK1_FROM-MVR,aLAK2_TO-MVR,aLAK2_FROM-MVR
173,32937600.0,1041.256334,1001.419089,-32.84349154,31.22706147,-188.2903925,176.7953086
174,33112800.0,1041.25639,1001.419085,-32.84590897,31.22706147,-188.2894674,176.7962188
175,33288000.0,1041.256444,1001.419081,-32.84826042,31.22706147,-188.2885747,176.7971131
176,33463200.0,1041.256496,1001.419077,-32.85054507,31.22706147,-188.287715,176.7979868
177,33638400.0,1041.256547,1001.419073,-32.85276412,31.22706147,-188.286889,176.7988381
178,33813600.0,1041.256596,1001.41907,-32.85491949,31.22706147,-188.2860989,176.7996673
179,33988800.0,1041.256645,1001.419066,-32.85701303,31.22706147,-188.2853475,176.8004751
180,34164000.0,1041.256691,1001.419063,-32.85904929,31.22706147,-188.2846421,176.8012665
181,34339200.0,1041.256737,1001.41906,-32.86105117,31.22706147,-188.2840012,176.8020603
182,34514400.0,1041.256782,1001.419058,-32.86301137,31.22706147,-188.2834011,176.8028336
183,34689600.0,1041.256826,1001.419055,-32.86492297,31.22706147,-188.2828154,176.8035778
184,34864800.0,1041.256869,1001.419052,-32.86678666,31.22706147,-188.2822461,176.8042938
185,35040000.0,1041.25691,1001.41905,-32.86860419,31.22706147,-188.2816925,176.8049839
186,35215200.0,1041.256951,1001.419047,-32.87037711,31.22706147,-188.2811476,176.8056494
187,35390400.0,1041.256991,1001.419045,-32.87210235,31.22706147,-188.2806168,176.8062866
188,35565600.0,1041.257029,1001.419043,-32.87377014,31.22706147,-188.2800979,176.8068832
189,35740800.0,1041.257066,1001.41904,-32.87537427,31.22706147,-188.2795845,176.8074306
190,35916000.0,1041.257101,1001.419038,-32.87691638,31.22706147,-188.2790679,176.8079303
191,36091200.0,1041.257135,1001.419036,-32.87839685,31.22706147,-188.2785367,176.808382
192,36266400.0,1041.257168,1001.419033,-32.87981688,31.22706147,-188.2779822,176.8087865
193,36441600.0,1041.257199,1001.41903,-32.88118133,31.22706147,-188.277403,176.8091496
194,36616800.0,1041.257229,1001.419028,-32.8824947,31.22706147,-188.2768021,176.8094769
195,36792000.0,1041.257258,1001.419025,-32.88376156,31.22706147,-188.2761871,176.8097741
196,36967200.0,1041.257286,1001.419022,-32.8849894,31.22706147,-188.2755631,176.8100507
197,37142400.0,1041.257314,1001.419019,-32.88618343,31.22706147,-188.2749348,176.8103124
198,37317600.0,1041.25734,1001.419016,-32.88734429,31.22706147,-188.274308,176.8105605
199,37492800.0,1041.257366,1001.419014,-32.88847505,31.22706147,-188.2736919,176.8107987
200,37668000.0,1041.257391,1001.419011,-32.88957886,31.22706147,-188.2730953,176.8110311
201,37843200.0,1041.257416,1001.419008,-32.8906585,31.22706147,-188.2725258,176.8112609
202,38018400.0,1041.25744,1001.419006,-32.89171645,31.22706147,-188.2719892,176.8114914
203,38193600.0,1041.257464,1001.419004,-32.89275493,31.22706147,-188.2714874,176.8117129
204,38368800.0,1041.257488,1001.419002,-32.89377614,31.22706147,-188.2710226,176.8119273
205,38544000.0,1041.257511,1001.419,-32.89478195,31.22706147,-188.2705984,176.8121388
206,38719200.0,1041.257533,1001.418998,-32.89577371,31.22706147,-188.2702184,176.8123509
207,38894400.0,1041.257556,1001.418996,-32.89675285,31.22706147,-188.269885,176.8125662
208,39069600.0,1041.257578,1001.418995,-32.89772049,31.22706147,-188.2695995,176.8127869
209,39244800.0,1041.2576,1001.418994,-32.89867686,31.22706147,-188.2693589,176.8130123
210,39420000.0,1041.257622,1001.418993,-32.89962127,31.22706147,-188.2691496,176.813239
211,39595200.0,1041.257643,1001.418992,-32.90055051,31.22706147,-188.2689463,176.8134599
212,39770400.0,1041.257664,1001.418991,-32.90146228,31.22706147,-188.2687285,176.8136754
213,39945600.0,1041.257684,1001.41899,-32.90235447,31.22706147,-188.2684694,176.8138847
214,40120800.0,1041.257704,1001.418989,-32.90322518,31.22706147,-188.2681452,176.8140806
215,40296000.0,1041.257724,1001.418987,-32.90407196,31.22706147,-188.2677334,176.8142569
216,40471200.0,1041.257743,1001.418984,-32.90489219,31.22706147,-188.2672189,176.8144082
217,40646400.0,1041.257761,1001.418982,-32.90568352,31.22706147,-188.2665911,176.8145294
218,40821600.0,1041.257778,1001.418978,-32.90644519,31.22706147,-188.2658432,176.8146178
219,40996800.0,1041.257795,1001.418974,-32.90717562,31.22706147,-188.2649718,176.8146708
220,41172000.0,1041.257811,1001.41897,-32.90789525,31.22706147,-188.2640856,176.8147611
221,41347200.0,1041.257828,1001.418966,-32.90860832,31.22706147,-188.2632053,176.8149008
222,41522400.0,1041.257844,1001.418962,-32.90932251,31.22706147,-188.2623527,176.8147245
223,41697600.0,1041.257861,1001.418959,-32.91004154,31.22706147,-188.2615482,176.8142875
224,41872800.0,1041.257877,1001.418955,-32.91076361,31.22706147,-188.2608054,176.8141498
225,42048000.0,1041.257894,1001.418952,-32.91148664,31.22706147,-188.2601468,176.8142858
226,42223200.0,1041.25791,1001.41895,-32.91220851,31.22706147,-188.2595826,176.8146659
227,42398400.0,1041.257927,1001.418948,-32.91292831,31.22706147,-188.2591214,176.815265
228,42573600.0,1041.257943,1001.418946,-32.91364343,31.22706147,-188.258744,176.8160079
229,42748800.0,1041.257959,1001.418945,-32.91435422,31.22706147,-188.2584796,176.8170101
230,42924000.0,1041.257976,1001.418944,-32.91506275,31.22706147,-188.2583668,176.8183227
231,43099200.0,1041.257992,1001.418945,-32.91576962,31.22706147,-188.2584315,176.8199146
232,43274400.0,1041.258008,1001.418946,-32.91647541,31.22706147,-188.2586922,176.8217561
233,43449600.0,1041.258024,1001.418948,-32.91717705,31.22706147,-188.2591365,176.8237567
234,43624800.0,1041.25804,1001.418951,-32.91787473,31.22706147,-188.2597652,176.8258981
235,43800000.0,1041.258056,1001.418954,-32.91856792,31.22706147,-188.2605596,176.8281254
236,43975200.0,1041.258072,1001.418964,-32.91925794,31.22706147,-188.2626917,176.8406798
237,44150400.0,1041.258088,1001.418982,-32.91994679,31.22706147,-188.2665875,176.8581489
238,44325600.0,1041.258103,1001.419005,-32.92063591,31.22706147,-188.2718713,176.8740487
239,44500800.0,1041.258119,1001.419034,-32.92132604,31.22706147,-188.2782836,176.8890127
240,44676000.0,1041.258135,1001.419067,-32.92201791,31.22706147,-188.2856024,176.9031001
241,44851200.0,1041.258152,1001.419105,-32.92273999,31.22706147,-188.2939895,176.9164891
242,45026400.0,1041.25817,1001.419152,-32.92354532,31.22706147,-188.3043993,176.9294883
243,45201600.0,1041.258191,1001.419212,-32.92445885,31.22706147,-188.3176313,176.942211
244,45376800.0,1041.258215,1001.419284,-32.92548602,31.22706147,-188.333495,176.9548987
245,45552000.0,1041.258241,1001.419366,-32.92662013,31.22706147,-188.351522,176.9675681
246,45727200.0,1041.258269,1001.419453,-32.92785386,31.22706147,-188.3709515,176.9769087
247,45902400.0,1041.258299,1001.419546,-32.92918495,31.22706147,-188.3914801,176.9853872
248,46077600.0,1041.258332,1001.419643,-32.93061338,31.22706147,-188.4129969,176.9942324
249,46252800.0,1041.258367,1001.419745,-32.93214037,31.22706147,-188.4354673,177.0036716
250,46428000.0,1041.258404,1001.419851,-32.93376222,31.22706147,-188.4588403,177.0136528
251,46603200.0,1041.258444,1001.41996,-32.93547619,31.22706147,-188.4830437,177.0241274
252,46778400.0,1041.258485,1001.420074,-32.93728071,31.22706147,-188.5082936,177.037303
253,46953600.0,1041.258528,1001.420208,-32.93916651,31.22706147,-188.5377763,177.0807254
254,47128800.0,1041.258573,1001.420364,-32.94112036,31.22706147,-188.572433,177.1390038
255,47304000.0,1041.258619,1001.420543,-32.9431325,31.22706147,-188.6120095,177.2017611
256,47479200.0,1041.258667,1001.420742,-32.94521241,31.22706147,-188.6559477,177.2648713
257,47654400.0,1041.258716,1001.420957,-32.94737885,31.22706147,-188.7037284,177.3265004
258,47829600.0,1041.258768,1001.421189,-32.94963782,31.22706147,-188.7548992,177.3869679
259,48004800.0,1041.258822,1001.421434,-32.9519991,31.22706147,-188.8091503,177.4464267
260,48180000.0,1041.25888,1001.42171,-32.9545139,31.22706147,-188.8703232,177.53235
261,48355200.0,1041.258942,1001.422022,-32.95723132,31.22706147,-188.9394638,177.6193088
262,48530400.0,1041.259009,1001.422377,-32.96016555,31.22706147,-189.0181138,177.7227466
263,48705600.0,1041.259082,1001.422775,-32.96332036,31.22706147,-189.1062965,177.8353194
264,48880800.0,1041.259159,1001.423209,-32.9666875,31.22706147,-189.2023882,177.943673
265,49056000.0,1041.259241,1001.423674,-32.97027641,31.22706147,-189.3052795,178.0481245
266,49231200.0,1041.259328,1001.424163,-32.97409195,31.22706147,-189.4137876,178.1489322
267,49406400.0,1041.259422,1001.424679,-32.97819203,31.22706147,-189.5280735,178.2468313
268,49581600.0,1041.259524,1001.425226,-32.98263356,31.22706147,-189.6494218,178.3421073
269,49756800.0,1041.259635,1001.4258,-32.98748949,31.22706147,-189.7767882,178.4346913
270,49932000.0,1041.259756,1001.426398,-32.99277548,31.22706147,-189.9093478,178.5239308
271,50107200.0,1041.259886,1001.42701,-32.99843072,31.22706147,-190.0452127,178.6039739
272,50282400.0,1041.260025,1001.427629,-33.00451869,31.22706147,-190.1827488,178.6741608
273,50457600.0,1041.260177,1001.428248,-33.01113012,31.22706147,-190.3201348,178.7298719
274,50632800.0,1041.260341,1001.428862,-33.01832326,31.22706147,-190.4565587,178.7792875
275,50808000.0,1041.260522,1001.429465,-33.02620902,31.22706147,-190.5905823,178.8161515
276,50983200.0,1041.260717,1001.430057,-33.03474029,31.22706147,-190.722068,178.8505151
277,51158400.0,1041.260925,1001.430631,-33.04381751,31.22706147,-190.8497549,178.8812495
278,51333600.0,1041.261144,1001.431183,-33.05338337,31.22706147,-190.9725236,178.9061664
279,51508800.0,1041.261372,1001.43171,-33.06335715,31.22706147,-191.089736,178.92743
280,51684000.0,1041.261608,1001.432213,-33.07367485,31.22706147,-191.2015647,178.9499107
281,51859200.0,1041.261851,1001.432688,-33.08429843,31.22706147,-191.3073415,178.9657255
282,52034400.0,1041.262101,1001.433139,-33.09522023,31.22706147,-191.4075322,178.9827597
283,52209600.0,1041.262356,1001.433565,-33.1063553,31.22706147,-191.5024792,178.9995719
284,52384800.0,1041.262617,1001.433982,-33.11776991,31.22706147,-191.5953322,179.0124988
285,52560000.0,1041.262889,1001.434379,-33.12965339,31.22706147,-191.6837976,179.0271012
286,52735200.0,1041.263169,1001.434755,-33.14192783,31.22706147,-191.7673615,179.0411525
287,52910400.0,1041.263456,1001.435107,-33.15446408,31.22706147,-191.8458137,179.0514795
288,53085600.0,1041.263752,1001.435439,-33.1674036,31.22706147,-191.9199241,179.0634135
289,53260800.0,1041.264055,1001.435754,-33.18069969,31.22706147,-191.9900721,179.0767296
290,53436000.0,1041.264365,1001.43605,-33.19425144,31.22706147,-192.0560224,179.0911269
291,53611200.0,1041.264678,1001.436329,-33.20796794,31.22706147,-192.1181277,179.1064401
292,53786400.0,1041.264994,1001.43659,-33.22178125,31.22706147,-192.1764831,179.1192841
293,53961600.0,1041.265308,1001.436836,-33.23555136,31.22706147,-192.2312191,179.1307691
294,54136800.0,1041.26562,1001.437067,-33.24920273,31.22706147,-192.2826766,179.1430347
295,54312000.0,1041.265928,1001.437284,-33.2626861,31.22706147,-192.3312204,179.1559572
296,54487200.0,1041.266231,1001.437488,-33.27596599,31.22706147,-192.3767251,179.1662928
297,54662400.0,1041.266528,1001.437678,-33.28897911,31.22706147,-192.4190171,179.1749595
298,54837600.0,1041.266818,1001.437853,-33.30170193,31.22706147,-192.4580859,179.1842179
299,55012800.0,1041.267101,1001.438015,-33.31409386,31.22706147,-192.4942012,179.1940612
300,55188000.0,1041.267375,1001.438165,-33.3261038,31.22706147,-192.5276827,179.204288
301,55363200.0,1041.26764,1001.438304,-33.33772284,31.22706147,-192.5587388,179.214767
302,55538400.0,1041.267896,1001.438434,-33.34893544,31.22706147,-192.5876257,179.225407
303,55713600.0,1041.268142,1001.438554,-33.35974441,31.22706147,-192.6145663,179.2361185
304,55888800.0,1041.268379,1001.438667,-33.37014436,31.22706147,-192.6397658,179.2468271
305,56064000.0,1041.268608,1001.438774,-33.38016226,31.22706147,-192.6634924,179.2575237
306,56239200.0,1041.268829,1001.438875,-33.38985778,31.22706147,-192.6861254,179.2682978
307,56414400.0,1041.269042,1001.438971,-33.39922085,31.22706147,-192.7076535,179.2789702
308,56589600.0,1041.269248,1001.439061,-33.40826195,31.22706147,-192.7277376,179.2859351
309,56764800.0,1041.269447,1001.439145,-33.41696697,31.22706147,-192.746447,179.2930612
310,56940000.0,1041.269636,1001.439222,-33.42528339,31.22706147,-192.7636336,179.3001363
311,57115200.0,1041.269816,1001.439291,-33.43319328,31.22706147,-192.7790381,179.30704
312,57290400.0,1041.269988,1001.439352,-33.44071201,31.22706147,-192.7927098,179.3138566
313,57465600.0,1041.27015,1001.439407,-33.44785714,31.22706147,-192.804866,179.3206364
314,57640800.0,1041.270305,1001.439456,-33.4546532,31.22706147,-192.8157669,179.3273847
315,57816000.0,1041.270452,1001.439498,-33.46112365,31.22706147,-192.8251973,179.3306601
316,57991200.0,1041.270593,1001.439535,-33.46728917,31.22706147,-192.8333563,179.3340605
317,58166400.0,1041.270727,1001.439566,-33.47316953,31.22706147,-192.8404099,179.3376063
318,58341600.0,1041.270855,1001.439596,-33.478784,31.22706147,-192.8469853,179.3453209
319,58516800.0,1041.270977,1001.439636,-33.48415066,31.22706147,-192.855937,179.3771275
320,58692000.0,1041.271094,1001.439683,-33.48929281,31.22706147,-192.8664362,179.4039452
321,58867200.0,1041.271206,1001.439735,-33.49423284,31.22706147,-192.8781772,179.4294831
322,59042400.0,1041.271314,1001.439792,-33.49897592,31.22706147,-192.8908966,179.4538483
323,59217600.0,1041.271418,1001.439853,-33.50352254,31.22706147,-192.9043643,179.4770764
324,59392800.0,1041.271517,1001.439915,-33.50787562,31.22706147,-192.9183832,179.4992072
325,59568000.0,1041.271612,1001.43998,-33.51204058,31.22706147,-192.9327849,179.520294
326,59743200.0,1041.271702,1001.440045,-33.51601222,31.22706147,-192.9474169,179.5403588
327,59918400.0,1041.271788,1001.440111,-33.51977392,31.22706147,-192.9621085,179.5593855
328,60093600.0,1041.271868,1001.440176,-33.52331792,31.22706147,-192.9767019,179.5773803
329,60268800.0,1041.271944,1001.440241,-33.52665748,31.22706147,-192.9910753,179.594405
330,60444000.0,1041.272016,1001.440304,-33.52980838,31.22706147,-193.0051405,179.6105223
331,60619200.0,1041.272084,1001.440365,-33.53278309,31.22706147,-193.0188571,179.6257713
332,60794400.0,1041.272148,1001.440425,-33.53559519,31.22706147,-193.032172,179.6401776
333,60969600.0,1041.272208,1001.440482,-33.53825711,31.22706147,-193.0449971,179.6538626
334,61144800.0,1041.272266,1001.440536,-33.54077628,31.22706147,-193.0570698,179.6659339
335,61320000.0,1041.27232,1001.440586,-33.54316009,31.22706147,-193.068117,179.6757795
336,61495200.0,1041.272371,1001.440631,-33.54541299,31.22706147,-193.078119,179.685103
337,61670400.0,1041.272419,1001.440671,-33.54754129,31.22706147,-193.0871013,179.6939139
338,61845600.0,1041.272465,1001.440707,-33.54955345,31.22706147,-193.0951032,179.702232
339,62020800.0,1041.272509,1001.440738,-33.55145828,31.22706147,-193.1021833,179.7100828
340,62196000.0,1041.27255,1001.440766,-33.553273,31.22706147,-193.1084626,179.7175103
341,62371200.0,1041.272589,1001.440791,-33.55501308,31.22706147,-193.1140511,179.7245431
342,62546400.0,1041.272627,1001.440813,-33.55667364,31.22706147,-193.1188565,179.7301235
343,62721600.0,1041.272663,1001.440831,-33.55825283,31.22706147,-193.122843,179.7344418
344,62896800.0,1041.272697,1001.440845,-33.55974971,31.22706147,-193.1260979,179.7384851
345,63072000.0,1041.272729,1001.440857,-33.561166,31.22706147,-193.1286959,179.7422462
